gene_id,gene_symbol,GNN Score,tier,evidence_count,pmids,first_pub_year,Tissue,titles,abstracts
ENSG00000081760,AACS,0.7564695,weak,1,39026753,2024,Brain/CNS; Liver,Ketogenesis supports hepatic polyunsaturated fatty acid homeostasis via fatty acid elongation.,"Therapeutic interventions targeting hepatic lipid metabolism in metabolic dysfunction-associated steatotic liver disease (MASLD) and steatohepatitis (MASH) remain elusive. Using mass spectrometry-based stable isotope tracing and shotgun lipidomics, we established a novel link between ketogenesis and MASLD pathophysiology. Our findings show that mouse liver and primary hepatocytes consume ketone bodies to support fatty acid (FA) biosynthesis via both de novo lipogenesis (DNL) and FA elongation. Analysis of (13) C-labeled FAs in hepatocytes lacking mitochondrial D-beta-hydroxybutyrate dehydrogenase (BDH1) revealed a partial reliance on mitochondrial conversion of D-betaOHB to acetoacetate (AcAc) for cytoplasmic DNL contribution, whereas FA elongation from ketone bodies was fully dependent on cytosolic acetoacetyl-CoA synthetase (AACS). Ketone bodies were essential for polyunsaturated FA (PUFA) homeostasis in hepatocytes, as loss of AACS diminished both free and esterified PUFAs. Ketogenic insufficiency depleted liver PUFAs and increased triacylglycerols, mimicking human MASLD, suggesting that ketogenesis supports PUFA homeostasis, and may mitigate MASLD-MASH progression in humans."
ENSG00000183044,ABAT,0.4924108,weak,1,19285044,2009,Brain/CNS,Beta-hydroxybutyrate alters GABA-transaminase activity in cultured astrocytes.,"The ketogenic diet has long been recognized as an effective treatment for medically refractory epilepsy. Despite nearly a century of use, the mechanisms underlying its clinical efficacy remain unknown. One of the proposed hypotheses for its anti-epileptic actions involves increased GABA concentration in the brain due to ketone bodies that become elevated with a ketogenic diet. In recent years, the notion that astrocytes could play a role in the evolution of abnormal cortical excitability in chronic neurological disorders, such as epilepsy, has received renewed attention. The present study examined the effects of beta-hydroxybutyrate, a ketone body, on GABA metabolism in rat primary cultured astrocytes. When beta-hydroxybutyrate was added to culture medium, GABA-transaminase (GABA-T) mRNA expression was significantly suppressed in time- and dose-dependent manners. GABA-T enzymatic activity in beta-hydroxybutyrate-treated astrocytes was also suppressed, in accordance with its gene expression. These effects were evident after 3 days of culture, which might coincide with depleted intracellular glycogen. GABA transporter, GAT-1, gene expression was strongly suppressed in cultured astrocytes after 5 days of culture with beta-hydroxybutyrate, although other type of GABA transporters did not display significant changes. These results suggest that beta-hydroxybutyrate induced by ketogenic diet may increase GABA concentration in the epileptic brain by suppressing astrocytic GABA degradation, leading to antiepileptic effects."
ENSG00000165029,ABCA1,0.5419321,weak,1,35409148,2022,Vasculature,Exercise Ameliorates Atherosclerosis via Up-Regulating Serum beta-Hydroxybutyrate Levels.,"Atherosclerosis, accompanied by inflammation and metabolic disorders, is the primary cause of clinical cardiovascular death. In recent years, unhealthy lifestyles (e.g., sedentary lifestyles) have contributed to a worldwide epidemic of atherosclerosis. Exercise is a known treatment of atherosclerosis, but the precise mechanisms are still unknown. Here, we show that 12 weeks of regular exercise training on a treadmill significantly decreased lipid accumulation and foam cell formation in ApoE(-/-) mice fed with a Western diet, which plays a critical role in the process of atherosclerosis. This was associated with an increase in beta-hydroxybutyric acid (BHB) levels in the serum. We provide evidence that BHB treatment in vivo or in vitro increases the protein levels of cholesterol transporters, including ABCA1, ABCG1, and SR-BI, and is capable of reducing lipid accumulation. It also ameliorated autophagy in macrophages and atherosclerosis plaques, which play an important role in the step of cholesterol efflux. Altogether, an increase in serum BHB levels after regular exercise is an important mechanism of exercise inhibiting the development of atherosclerosis. This provides a novel treatment for atherosclerotic patients who are unable to undertake regular exercise for whatever reason. They will gain a benefit from receiving additional BHB."
ENSG00000085563,ABCB1,0.20618246,weak,1,32023814,2020,Blood,Ketone Bodies Promote Amyloid-beta(1-40) Clearance in a Human in Vitro Blood-Brain Barrier Model.,"Alzheimer's disease (AD) is characterized by the abnormal accumulation of amyloid-beta (Abeta) peptides in the brain. The pathological process has not yet been clarified, although dysfunctional transport of Abeta across the blood-brain barrier (BBB) appears to be integral to disease development. At present, no effective therapeutic treatment against AD exists, and the adoption of a ketogenic diet (KD) or ketone body (KB) supplements have been investigated as potential new therapeutic approaches. Despite experimental evidence supporting the hypothesis that KBs reduce the Abeta load in the AD brain, little information is available about the effect of KBs on BBB and their effect on Abeta transport. Therefore, we used a human in vitro BBB model, brain-like endothelial cells (BLECs), to investigate the effect of KBs on the BBB and on Abeta transport. Our results show that KBs do not modify BBB integrity and do not cause toxicity to BLECs. Furthermore, the presence of KBs in the culture media was combined with higher MCT1 and GLUT1 protein levels in BLECs. In addition, KBs significantly enhanced the protein levels of LRP1, P-gp, and PICALM, described to be involved in Abeta clearance. Finally, the combined use of KBs promotes Abeta efflux across the BBB. Inhibition experiments demonstrated the involvement of LRP1 and P-gp in the efflux. This work provides evidence that KBs promote Abeta clearance from the brain to blood in addition to exciting perspectives for studying the use of KBs in therapeutic approaches."
ENSG00000160179,ABCG1,0.52595305,weak,1,35409148,2022,Vasculature,Exercise Ameliorates Atherosclerosis via Up-Regulating Serum beta-Hydroxybutyrate Levels.,"Atherosclerosis, accompanied by inflammation and metabolic disorders, is the primary cause of clinical cardiovascular death. In recent years, unhealthy lifestyles (e.g., sedentary lifestyles) have contributed to a worldwide epidemic of atherosclerosis. Exercise is a known treatment of atherosclerosis, but the precise mechanisms are still unknown. Here, we show that 12 weeks of regular exercise training on a treadmill significantly decreased lipid accumulation and foam cell formation in ApoE(-/-) mice fed with a Western diet, which plays a critical role in the process of atherosclerosis. This was associated with an increase in beta-hydroxybutyric acid (BHB) levels in the serum. We provide evidence that BHB treatment in vivo or in vitro increases the protein levels of cholesterol transporters, including ABCA1, ABCG1, and SR-BI, and is capable of reducing lipid accumulation. It also ameliorated autophagy in macrophages and atherosclerosis plaques, which play an important role in the step of cholesterol efflux. Altogether, an increase in serum BHB levels after regular exercise is an important mechanism of exercise inhibiting the development of atherosclerosis. This provides a novel treatment for atherosclerotic patients who are unable to undertake regular exercise for whatever reason. They will gain a benefit from receiving additional BHB."
ENSG00000159640,ACE,0.33896968,weak,1,15195553,2004,Lung,beta-hydroxybutyrate induces acute pulmonary endothelial dysfunction in rabbits.,"The authors examined the effects of high ketone body and glucose concentrations on endothelial cell (EC) function in perfused rabbit lungs. beta-Hydroxybutyrate (beta OHB), at 5 mM, decreased endothelial angiotensin-converting enzyme (eACE) activity, whereas 25 mM glucose (HG), 1 mM beta OHB, or 10 mM acetoacetate (AcAc) did not. Dry to wet weight ratios were also reduced in lungs perfused with 5 mM beta OHB, but not with AcAc. beta OHB, at 5 mM, caused massive hemorrhage and interstitial and alveolar neutrophil infiltration, AcAc only produced engorgement of septal capillaries. Thus, pulmonary EC dysfunction occurs in rabbit lungs acutely perfused with beta OHB, but not with AcAc or glucose."
ENSG00000131473,ACLY,0.6764462,weak,1,6708749,1984,,"Pathways of acetyl CoA production for lipogenesis from acetoacetate, beta-hydroxybutyrate, pyruvate and glucose in neonatal rat lung.","The rate of fatty acid synthesis from acetoacetate (AcAc) is 2-3 times greater than from glucose in developing rat lung. To determine the reason for this difference, we investigated the pathways of lipogenesis from [3-14C] AcAc, [3-14C] beta-hydroxybutyrate (beta OHB), [U-14C] glucose or [2-14C] pyruvate in minced lung tissue of 3- to 4-day-old rats. The addition of (-)hydroxycitrate, an inhibitor of ATP-citrate lyase, inhibited fatty acid synthesis from glucose, pyruvate, and beta OHB by 88%, 70% and 60%, respectively, but had no effect on that from AcAc. Benzene 1,2,3-tricarboxylate, an inhibitor of tricarboxylate translocase, inhibited fatty acid synthesis from all substrates by at least 50%. Incubation with aminooxyacetate, an inhibitor of aspartate aminotransferase, had no effect on lipid synthesis from glucose, pyruvate or AcAc, but increased lipid synthesis from beta OHB. Results indicate that for lipid synthesis in the neonatal lung, acetyl CoA from AcAc is derived predominantly from a cytoplasmic pathway involving AcAcCoA synthetase and AcAcCoA thiolase, whereas citrate is the major route of acetyl group transfer from glucose. Lipogenesis from beta OHB involves both the cytoplasmic and citrate pathways."
ENSG00000161533,ACOX1,0.66693807,weak,1,37032786,2023,,Ketogenic diet alleviates renal fibrosis in mice by enhancing fatty acid oxidation through the free fatty acid receptor 3 pathway.,"INTRODUCTION: The ketogenic diet (KD), as a dietary intervention, has gained importance in the treatment of solid organ structural remodeling, but its role in renal fibrosis has not been explored. METHODS: Male C57BL/6 mice were fed a normal diet or a KD for 6 weeks prior to unilateral ureteral obstruction (UUO), a well-established in vivo model of renal fibrosis in rodents. Seven days after UUO, serum and kidney samples were collected. Serum beta-hydroxybutyrate (beta-OHB) concentrations and renal fibrosis were assessed. NRK52E cells were treated with TGFbeta1, a fibrosis-inducing cytokine, and with or without beta-OHB, a ketone body metabolized by KD, to investigate the mechanism underlying renal fibrosis. RESULTS: KD significantly enhanced serum beta-OHB levels in mice. Histological analysis revealed that KD alleviated structural destruction and fibrosis in obstructed kidneys and reduced the expression of the fibrosis protein markers alpha-SMA, Col1a1, and Col3a1. Expression of the rate-limiting enzymes involved in fatty acid oxidation (FAO), Cpt1a and Acox1, significantly decreased after UUO and were upregulated by KD. However, the protective effect of KD was abolished by etomoxir (a Cpt1a inhibitor). Besides, our study observed that KD significantly suppressed UUO-induced macrophage infiltration and the expression of IL-6 in the obstructive kidneys. In NRK52E cells, fibrosis-related signaling was increased by TGFbeta1 and reduced by beta-OHB. beta-OHB treatment restored the impaired expression of Cpt1a. The effect of beta-OHB was blocked by siRNA targeting free fatty acid receptor 3 (FFAR3), suggesting that beta-OHB might function through the FFAR3-dependent pathway. DISCUSSION: Our results highlight that KD attenuates UUO-induced renal fibrosis by enhancing FAO via the FFAR3-dependent pathway, which provides a promising dietary therapy for renal fibrosis."
ENSG00000068366,ACSL4,0.6400585,weak,1,36435477,2023,,Ketone Body beta-Hydroxybutyric Acid Ameliorates Dopaminergic Neuron Injury Through Modulating Zinc Finger Protein 36/Acyl-CoA Synthetase Long-Chain Family Member Four Signaling Axis-Mediated Ferroptosis.,"beta-hydroxybutyrate (BHB) is one of main component of ketone body, which plays an important protective role in various tissues and organs. Whereas, its exact regulatory roles and mechanisms in Parkinson's disease (PD) have not been full elucidated. In this study, SN4741 cells and C57BL/6 mice were treated with 1-methyl-4-phenylpyridinium ion (MPP(+))/1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP) to establish the PD model in vitro and in vivo. Cell viability and damage to dopaminergic neurons were measured by cell counting kit 8, Calcein-AM/PI staining, terminal dexynucleotidyl transferase (TdT)-mediated dUTP nick end labeling and hematoxylin & eosin staining. Corresponding assay kits and BODIPY 581/591 C11 probe evaluated oxidative stress and intracellular iron levels. Western blot examined the ferroptosis-related proteins. MPTP/MPP(+)-treatment reduced cell viability but triggered oxidative stress and ferroptosis in SNA4741 cells and brain tissues of mice. However, these effects were dramatically reversed by BHB and Fer-1 treatment. Mechanistically, Zinc finger protein 36 (ZFP36) was a target of BHB, and its depletion could reverse the anti-oxidative stress and anti-ferroptosis roles of BHB. Moreover, ZFP36 could directly bound to acyl-CoA synthetase long-chain family member 4 (ACSL4) mRNA to decay its expression, thus negatively modulating ACSL4-mediated oxidative stress and ferroptosis. Summary, BHB alleviated oxidative stress and ferroptosis of dopaminergic neurons in PD via modulating ZFP36/ACSL4 axis, which provided some new understanding for PD prevention and treatment."
ENSG00000107796,ACTA2,0.39103392,weak,2,37032786;37395230,2023,Kidney; Vasculature,Ketogenic diet alleviates renal fibrosis in mice by enhancing fatty acid oxidation through the free fatty acid receptor 3 pathway.;Ketogenic diet inhibits neointimal hyperplasia by suppressing oxidative stress and inflammation.,"INTRODUCTION: The ketogenic diet (KD), as a dietary intervention, has gained importance in the treatment of solid organ structural remodeling, but its role in renal fibrosis has not been explored. METHODS: Male C57BL/6 mice were fed a normal diet or a KD for 6 weeks prior to unilateral ureteral obstruction (UUO), a well-established in vivo model of renal fibrosis in rodents. Seven days after UUO, serum and kidney samples were collected. Serum beta-hydroxybutyrate (beta-OHB) concentrations and renal fibrosis were assessed. NRK52E cells were treated with TGFbeta1, a fibrosis-inducing cytokine, and with or without beta-OHB, a ketone body metabolized by KD, to investigate the mechanism underlying renal fibrosis. RESULTS: KD significantly enhanced serum beta-OHB levels in mice. Histological analysis revealed that KD alleviated structural destruction and fibrosis in obstructed kidneys and reduced the expression of the fibrosis protein markers alpha-SMA, Col1a1, and Col3a1. Expression of the rate-limiting enzymes involved in fatty acid oxidation (FAO), Cpt1a and Acox1, significantly decreased after UUO and were upregulated by KD. However, the protective effect of KD was abolished by etomoxir (a Cpt1a inhibitor). Besides, our study observed that KD significantly suppressed UUO-induced macrophage infiltration and the expression of IL-6 in the obstructive kidneys. In NRK52E cells, fibrosis-related signaling was increased by TGFbeta1 and reduced by beta-OHB. beta-OHB treatment restored the impaired expression of Cpt1a. The effect of beta-OHB was blocked by siRNA targeting free fatty acid receptor 3 (FFAR3), suggesting that beta-OHB might function through the FFAR3-dependent pathway. DISCUSSION: Our results highlight that KD attenuates UUO-induced renal fibrosis by enhancing FAO via the FFAR3-dependent pathway, which provides a promising dietary therapy for renal fibrosis.;OBJECTIVE: Neointimal hyperplasia is the primary mechanism underlying atherosclerosis and restenosis after percutaneous coronary intervention. Ketogenic diet (KD) exerts beneficial effects in various diseases, but whether it could serve as non-drug therapy for neointimal hyperplasia remains unknown. This study aimed to investigate the effect of KD on neointimal hyperplasia and the potential mechanisms. METHODS AND RESULTS: Carotid artery balloon-injury model was employed in adult Sprague-Dawley rats to induce neointimal hyperplasia. Then, animals were subjected to either standard rodent chow or KD. For in-vitro experiment, impacts of beta-hydroxybutyrate (beta-HB), the main mediator of KD effects, on platelet-derived growth factor BB (PDGF-BB) induced vascular smooth muscle cell (VSMC) migration and proliferation were determined. Balloon injury induced event intimal hyperplasia and upregulation of protein expression of proliferating cell nuclear antigen (PCNA) and alpha-smooth muscle actin (alpha-SMA), and these changes were significantly ameliorated by KD. In addition, beta-HB could markedly inhibit PDGF-BB induced VMSC migration and proliferation, as well as inhibiting expressions of PCNA and alpha-SMC. Furthermore, KD inhibited balloon-injury induced oxidative stress in carotid artery, indicated by reduced ROS level, malondialdehyde (MDA) and myeloperoxidase (MPO) activities, and increased superoxide dismutase (SOD) activity. We also found balloon-injury induced inflammation in carotid artery was suppressed by KD, indicated by decreased expressions of proinflammatory cytokines IL-1beta and TNF-alpha, and increased expression of anti-inflammatory cytokine IL-10. CONCLUSION: KD attenuates neointimal hyperplasia through suppressing oxidative stress and inflammation to inhibit VSMC proliferation and migration. KD may represent a promising non-drug therapy for neointimal hyperplasia associated diseases."
