ensembl_id,symbol,name,overall,dt_literature,dt_affected_pathway,dt_genetic_association,ds_uniprot_variants,ds_genomics_england,ds_eva,ds_gwas_credible_sets,ds_clingen,ds_orphanet,ds_uniprot_literature,ds_crispr_screen,ds_europepmc,ds_gene_burden,ds_gene2phenotype,dt_somatic_mutation,ds_eva_somatic,dt_known_drug,dt_rna_expression,ds_chembl,ds_expression_atlas,dt_animal_model,ds_impc
ENSG00000188906,LRRK2,leucine rich repeat kinase 2,0.8739579473743280,0.9969230272074730,0.555469799179861,0.9344559401988410,0.9818602383993100,0.9421515329208270,0.92095785696325,0.8255385322936960,0.607930797611621,0.607930797611621,0.607930797611621,0.555469799179861,0.9969230272074730,0.15198269940290500,,,,,,,,,
ENSG00000159363,ATP13A2,ATPase cation transporting 13A2,0.8531361870547750,0.7263949153215640,,0.9267608111296400,0.9360722249447110,0.9671529481664190,0.9400444864140630,,0.607930797611621,0.7599134970145260,0.607930797611621,,0.7263949153215640,,0.3039653988058110,,,,,,,,
ENSG00000185345,PRKN,parkin RBR E3 ubiquitin protein ligase,0.8505454789844970,0.9795420990413740,,0.935426438905522,0.9802688000069750,0.865457038266544,0.9388182859881610,,0.607930797611621,0.607930797611621,0.6839221473130740,,0.9795420990413740,,,,,,,,,,
ENSG00000158828,PINK1,PTEN induced kinase 1,0.8490101765055020,0.9559504359485640,,0.9337976460981290,0.976168709488724,0.9285669064556790,0.9364510011992500,,0.607930797611621,0.607930797611621,0.607930797611621,,0.9559504359485640,,,0.0,0.0,,,,,,
ENSG00000145335,SNCA,synuclein alpha,0.8467179432841180,0.9943658284932750,,0.9178103815970610,0.9285669064556790,0.9285669064556790,0.9020096863416370,0.9209254510464450,0.607930797611621,0.7599134970145260,0.865457038266544,,0.9943658284932750,,,,,0.16727781092716900,0.035571037018887100,0.16727781092716900,0.035571037018887100,,
ENSG00000116288,PARK7,Parkinsonism associated deglycase,0.8071371449716730,0.971148261548981,,0.8864999940131060,0.9190679877429970,0.8897742701710090,0.8999382887036900,,0.607930797611621,0.607930797611621,0.607930797611621,,0.971148261548981,,,,,,,,,0.5117451279761260,0.5117451279761260
ENSG00000100225,FBXO7,F-box protein 7,0.8021364016972540,0.7751627171471780,,0.8985631514841800,0.7599134970145260,0.9190679877429970,0.938632275854708,,,0.607930797611621,0.607930797611621,,0.7751627171471780,,,,,,,,,,
ENSG00000116675,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,0.8021270900445330,0.7595529480975130,,0.8985403809260890,0.607930797611621,0.9421515329208270,0.9048576505112070,,,0.607930797611621,0.7599134970145260,,0.7595529480975130,,,,,,0.025659148735852200,,0.025659148735852200,,
ENSG00000177628,GBA1,glucosylceramidase beta 1,0.7649315161562330,0.9930457354716440,,0.8559222666400130,,,0.9436510621352750,0.6435277269811820,0.607930797611621,,0.3039653988058110,,0.9930457354716440,0.7497156239512350,,,,,,,,,
ENSG00000069329,VPS35,VPS35 retromer complex component,0.7603253971350210,0.9219092340960900,,0.8349693645648510,0.607930797611621,0.9066612367713320,0.7674202253859930,,0.607930797611621,0.607930797611621,0.607930797611621,,0.9219092340960900,,,,,,,,,0.528197348377202,0.528197348377202
ENSG00000129003,VPS13C,vacuolar protein sorting 13 homolog C,0.7179874076869490,0.16704092574863000,,0.7914454611611010,0.607930797611621,0.3039653988058110,0.9024328837533560,0.2964681567610890,,0.607930797611621,0.607930797611621,,0.16704092574863000,,,,,,,,,,
ENSG00000184381,PLA2G6,phospholipase A2 group VI,0.7136992094042130,0.8459482988013500,,0.9196119687843120,,0.8274613634158180,0.9426496201264350,,,,,,0.8459482988013500,,,,,,,,,0.453375520829856,0.453375520829856
ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,0.6946683763372980,0.16930670620527700,0.5815977542462040,,,,,,,,,0.5815977542462040,0.16930670620527700,,,,,0.9935149209397900,,0.9935149209397900,,,
ENSG00000186868,MAPT,microtubule associated protein tau,0.6878986446881400,0.9758869704152970,,0.8206939517993020,,0.8274613634158180,0.8730668988008630,0.3341107526480970,,,,,0.9758869704152970,,,,,,,,,0.2858490610369840,0.2858490610369840
ENSG00000168539,CHRM1,cholinergic receptor muscarinic 1,0.6666535051584670,0.19149820124766100,0.39300929809773000,,,,,,,,,0.39300929809773000,0.19149820124766100,,,,,0.9940865548095210,,0.9940865548095210,,,
ENSG00000197746,PSAP,prosaposin,0.6446314600087310,0.7659559956122570,0.865457038266544,0.6839221473130740,,,0.6839221473130740,,,,,0.865457038266544,0.7659559956122570,,,,,,,,,0.552878672508936,0.552878672508936
ENSG00000149295,DRD2,dopamine receptor D2,0.6410818023837330,0.8604961669583590,,,,,,,,,,,0.8604961669583590,,,,,0.9962201342674550,,0.9962201342674550,,0.6878674339259570,0.6878674339259570
ENSG00000069535,MAOB,monoamine oxidase B,0.6305279600834830,0.9437296222599880,,,,,,,,,,,0.9437296222599880,,,,,0.9899841352805770,,0.9899841352805770,,,
ENSG00000151577,DRD3,dopamine receptor D3,0.6297451867863990,0.7650344635873100,,,,,,,,,,,0.7650344635873100,,,,,0.9976312905789120,,0.9976312905789120,,,
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.6266731601682430,0.7462968460025900,,,,,,,,,,,0.7462968460025900,,,,,0.9935149209397900,,0.9935149209397900,,,
ENSG00000093010,COMT,catechol-O-methyltransferase,0.626152792320812,0.9161858494082410,,,,,,,,,,,0.9161858494082410,,,,,0.9841645051736290,,0.9841645051736290,,,
ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,0.6258871233729320,0.7204374291610930,,,,,,,,,,,0.7204374291610930,,,,,0.9935149209397900,,0.9935149209397900,,,
ENSG00000132437,DDC,dopa decarboxylase,0.6217243529672960,0.29107927259726600,,,,,,,,,,,0.29107927259726600,,,,,0.9937054310563110,0.05278723160560940,0.9937054310563110,0.05278723160560940,0.4371130288264600,0.4371130288264600
ENSG00000149311,ATM,ATM serine/threonine kinase,0.6189037392707380,0.7989709952147920,0.48933457333144200,0.8779611014821190,,,,,,,,0.48933457333144200,0.7989709952147920,0.8779611014821190,,,,,,,,,
ENSG00000069696,DRD4,dopamine receptor D4,0.6127606392838970,0.23842414126577000,,,,,,,,,,,0.23842414126577000,,,,,0.9960235157427460,,0.9960235157427460,,,
ENSG00000087085,ACHE,acetylcholinesterase (Yt blood group),0.610182671420506,0.7413181062776920,,,,,,,,,,,0.7413181062776920,,,,,0.9540101563938780,0.009356904957132450,0.9540101563938780,0.009356904957132450,0.5630012281856680,0.5630012281856680
ENSG00000198785,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,0.6096811761568930,,,0.035799683566711700,,,,0.035799683566711700,,,,,,,,,,0.9935019986144080,0.019229413014645900,0.9935019986144080,0.019229413014645900,,
ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,0.6078815831347350,0.12834094616245300,,,,,,,,,,,0.12834094616245300,,,,,0.9935019986144080,,0.9935019986144080,,,
ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,0.6076731550593690,0.12148397901472700,,,,,,,,,,,0.12148397901472700,,,,,0.9935019986144080,,0.9935019986144080,,,
